;;;;;;;;;;;;x,,,,,,,,,,,,,
return_core_on_title;Enable 'Return Cores' decisions;;;;;;;;;;;;x,,
return_core_on_desc;The Return Cores decisions allow you to return cores of vassals and spherelings, as long as you don't have a core in the province, and are otherwise kept hidden from view to avoid having them clutter up your decision list.;;;;;;;;;;;;x
return_core_off_title;Disable 'Return Cores' decisions;;;;;;;;;;;;x,,
return_core_off_desc;Your decision list will now be uncluttered.;;;;;;;;;;;;x,,
return_core_disabled_title;Deactivate 'Return Cores' decisions;;;;;;;;;;;;x,,
return_core_disabled_desc;The 'Return Cores' decisions will disappear from this game session and won't reappear again. You won't be able to use these decisions again for this game.;;;;;;;;;;;;x,,
return_cores_AAC_title;Return cores to Aachen;;;;;;;;;;;;;;;;;;;;x,,
return_cores_AAC_desc;We hold provinces that Aachen has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_ADA_title;Return cores to Adal;;;;;;;;;;;;;;;;;;;;x,,
return_cores_ADA_desc;We hold provinces that Adal has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_AIN_title;Return cores to Ainu;;;;;;;;;;;;;;;;;;;;x,,
return_cores_AIN_desc;We hold provinces that Ainu has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_ALQ_title;Return cores to Algonquin;;;;;;;;;;;;;;;;;;;;x,,
return_cores_ALQ_desc;We hold provinces that Algonquin has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_ALS_title;Return cores to Strasbourg;;;;;;;;;;;;;;;;;;;;x,,
return_cores_ALS_desc;We hold provinces that Strasbourg has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_AND_title;Return cores to Andhra;;;;;;;;;;;;;;;;;;;;x,,
return_cores_AND_desc;We hold provinces that Andhra has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_ASI_title;Return cores to Assiniboine;;;;;;;;;;;;;;;;;;;;x,,
return_cores_ASI_desc;We hold provinces that Assiniboine has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_ATJ_title;Return cores to Aceh;;;;;;;;;;;;;;;;;;;;x,,
return_cores_ATJ_desc;We hold provinces that Aceh has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_BAL_title;Return cores to Bali;;;;;;;;;;;;;;;;;;;;x,,
return_cores_BAL_desc;We hold provinces that Bali has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_BAU_title;Return cores to Berau;;;;;;;;;;;;;;;;;;;;x,,
return_cores_BAU_desc;We hold provinces that Berau has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_BLM_title;Return cores to Blambangan;;;;;;;;;;;;;;;;;;;;x,,
return_cores_BLM_desc;We hold provinces that Blambangan has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_BNJ_title;Return cores to Banjar;;;;;;;;;;;;;;;;;;;;x,,
return_cores_BNJ_desc;We hold provinces that Banjar has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_BNY_title;Return cores to Bunyoro;;;;;;;;;;;;;;;;;;;;x,,
return_cores_BNY_desc;We hold provinces that Bunyoro has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_BRG_title;Return cores to Burgundy;;;;;;;;;;;;;;;;;;;;x,,
return_cores_BRG_desc;We hold provinces that Burgundy has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_BRT_title;Return cores to Brittany;;;;;;;;;;;;;;;;;;;;x,,
return_cores_BRT_desc;We hold provinces that Brittany has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_BRU_title;Return cores to Brunei;;;;;;;;;;;;;;;;;;;;x,,
return_cores_BRU_desc;We hold provinces that Brunei has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_BRY_title;Return cores to Buryatia;;;;;;;;;;;;;;;;;;;;x,,
return_cores_BRY_desc;We hold provinces that Buryatia has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_BRZ_title;Return cores to Brazil;;;;;;;;;;;;;;;;;;;;x,,
